id,zipcode,latitude,longitude,saleprice,totalcrime,rank,rankStars,rent,marketindex,totalincome
73,11210,40.63,-73.95,808300,105,,,,4.51634557293415,1917008
74,11211,40.71,-73.95,958200,148,108.5,4.5,2950.0,3.91152581056589,1822086
75,11212,40.66,-73.91,454500,297,165.42857142857142,1.2857142857142858,,8.70040947841847,1050854
76,11213,40.67,-73.94,902300,177,436.5,0.6666666666666666,,4.57877424984896,975809
77,11214,40.6,-74.0,707300,102,,,1899.5,6.10995502450158,1582385
78,11215,40.66,-73.99,1272600,90,224,4,2825.0,0.572598509767067,3965200
79,11216,40.68,-73.95,866700,162,272.6666666666667,1.6666666666666667,2300.0,2.51997046385178,1112530
80,11217,40.68,-73.98,1232700,133,543,2,3300.0,0.95388333221454,1977420
81,11218,40.64,-73.98,1077200,72,0,0,2000.0,9.83419480432302,1652281
82,11219,40.63,-74.0,796000,54,,,,8.94878163388602,1386109
83,11221,40.69,-73.93,974900,202,397.6363636363636,1.8181818181818181,2499.5,,1178856
84,11222,40.73,-73.95,1001300,72,773.5,0,2997.5,2.54078002282339,1284758
85,11223,40.6,-73.97,905600,92,,,,6.24555279586494,1996061
86,11224,40.58,-73.99,557400,161,245.5,1,,9.44149828824596,726459
87,11225,40.66,-73.95,1413400,129,4,5,,6.80405450761898,1243230
88,11226,40.65,-73.96,824300,220,103.75,0.5,1800.0,6.8664831845338,1741717
89,11228,40.62,-74.01,912800,36,,,,8.1070014096798,1094666
90,11229,40.6,-73.94,769400,91,,,1999.0,6.55903873263073,1951637
91,11230,40.62,-73.97,1098900,70,473,2,,8.37618312411895,2217478
92,11231,40.68,-74.01,1153000,89,126.5,1.5,3200.0,4.47808283547023,1913607
93,11234,40.61,-73.91,607500,127,298,3,2350.0,8.58629254212257,2449778
94,11235,40.58,-73.95,710100,118,738.5,0.5,2400.0,2.38034503591327,1954368
95,11236,40.64,-73.9,477200,163,406.4,2.6,,9.80465865610526,1849528
96,11238,40.68,-73.96,1001600,108,360,1.5,2900.0,0.731690944485467,2102096
97,11354,40.77,-73.84,738800,129,256,3,2300.0,9.2287037658589,1023869
98,11355,40.75,-73.82,741400,112,,,2250.0,9.55024501577499,1307545
99,11356,40.78,-73.84,731900,29,,,2325.0,6.31805061421763,515291
100,11357,40.79,-73.81,914600,35,,,2500.0,8.64267973417467,1489003
101,11358,40.76,-73.8,890300,30,,,2305.0,8.75746794656642,1021892
102,11360,40.78,-73.78,785700,16,,,2500.0,3.78062697187353,848670
103,11361,40.76,-73.77,868900,37,130,4,2400.0,6.98999798617171,859145
104,11362,40.76,-73.74,924900,17,,,,4.96878566154259,647724
105,11363,40.77,-73.75,1035200,2,,,,9.08437940524938,378123
106,11364,40.75,-73.76,890900,33,,,,6.87252466939652,1131429
107,11365,40.74,-73.79,859900,36,,,2547.5,8.65744780828355,1108366
108,11366,40.73,-73.79,907900,18,,,,9.0776666442908,425878
109,11367,40.73,-73.83,803700,23,,,2200.0,7.69618043901457,1011705
110,11368,40.74,-73.85,537000,147,442,2,,9.22803248976304,1266352
111,11369,40.76,-73.88,702100,88,,,,6.76713432234678,592669
112,11370,40.77,-73.89,686500,19,,,,7.68678257367255,542058
113,11372,40.75,-73.88,572200,112,0,0,,7.40686044169967,1399272
114,11373,40.74,-73.88,577900,138,43,5,,5.27018862858294,1559337
115,11374,40.72,-73.86,764500,56,,,2000.0,6.82620661878231,1251998
116,11375,40.72,-73.84,967700,56,,,2000.0,3.08182855608512,3006605
117,11377,40.74,-73.9,744000,120,150,4,,4.4881519769081,1692841
118,11378,40.72,-73.9,691700,37,,,,5.7320265825334,858779
119,11379,40.71,-73.88,719200,29,96,4,,5.9038732630731,1081815
120,11385,40.7,-73.89,664500,181,,,2200.0,7.56796670470565,1948325
121,11411,40.69,-73.73,461800,37,,,,5.76827549170974,508979
122,11412,40.69,-73.75,457500,78,302,3,,7.63375176209975,745809
123,11413,40.66,-73.75,464500,74,292.5,3,,5.25877693495335,940867
124,11414,40.66,-73.84,663900,24,,,,8.26139491172719,817929
125,11415,40.71,-73.83,646200,15,,,,6.71813116734913,567144
126,11416,40.68,-73.85,526600,39,569,1,,9.6737598174129,383883
127,11417,40.68,-73.84,519600,57,,,,8.95280929046117,579544
128,11418,40.7,-73.84,594400,57,,,,6.76310666577163,670034
129,11419,40.69,-73.82,500500,69,,,,6.7604215613882,737213
130,11420,40.67,-73.81,487600,89,,,,3.97663959186413,839487
131,11421,40.69,-73.85,572700,42,,,,8.6164999664362,746964
